finding_id,asset_id,hostname,severity,cvss_score,risk_score,cve_id,vuln_title,mitre_tactic,cisa_kev,exploited_in_wild,status,days_open,sla_days,sla_breached,detected_date,last_seen_date,source,owner_team,owner_email,region,asset_type,os_family,remediation
FND-000020,AST-000105,k8s-prd-usw-7712,Critical,9.8,9.9,CVE-2022-22965,Spring4Shell,RemoteCodeExecution,1,1,Open,75,7,1,2024-11-20,2025-02-03,Snyk,Cloud Team,cloud.alerts@example.com,US,Container,ContainerOS,Upgrade Spring framework
FND-000021,AST-000106,mail-prd-use-3321,High,9.8,9.3,CVE-2023-23397,Outlook NTLM Leak,CredentialAccess,1,1,Mitigated,20,30,0,2025-01-05,2025-01-27,Defender,Endpoint Team,endpoint.alerts@example.com,US,Laptop,Windows,Apply Outlook patch
FND-000022,AST-000107,net-prd-apac-1209,Critical,9.8,9.6,CVE-2023-46747,F5 BIG-IP Auth Bypass,InitialAccess,1,0,Open,35,7,1,2024-12-30,2025-02-02,Qualys,Network Team,net.alerts@example.com,APAC,NetworkDevice,NetworkOS,Patch BIG-IP firmware
FND-000023,AST-000108,collab-prd-usw-8821,High,9.4,9.1,CVE-2023-3519,Citrix NetScaler RCE,InitialAccess,1,1,Open,40,30,1,2024-12-25,2025-02-01,Rapid7,Collaboration Team,collab.alerts@example.com,US,Server,Linux,Apply Citrix updates
FND-000024,AST-000109,print-prd-euw-4421,Medium,7.8,7.4,CVE-2021-34527,PrintNightmare,PrivilegeEscalation,0,0,Open,110,90,1,2024-10-15,2025-01-30,Defender,IT Team,it.alerts@example.com,EU,Server,Windows,Disable print spooler
FND-000025,AST-000110,vc-prd-usw-9921,Critical,9.8,9.7,CVE-2021-21985,vCenter RCE,RemoteCodeExecution,1,1,Open,55,7,1,2024-12-10,2025-02-03,Qualys,Cloud Team,cloud.alerts@example.com,US,Server,Linux,Patch vCenter
FND-000026,AST-000111,api-prd-usw-2044,High,8.6,8.3,CVE-2022-30190,Follina MSDT,Execution,0,0,Open,88,30,1,2024-11-15,2025-01-29,Defender,Endpoint Team,endpoint.alerts@example.com,US,Workstation,Windows,Disable MSDT
FND-000027,AST-000112,web-prd-euw-7710,High,8.4,8.1,CVE-2023-20887,VMware Auth Bypass,InitialAccess,1,0,Open,62,30,1,2024-12-01,2025-01-31,Qualys,Cloud Team,cloud.alerts@example.com,EU,Server,Linux,Patch VMware products
FND-000028,AST-000113,db-prd-apac-3302,Critical,9.6,9.5,CVE-2020-0601,CryptoAPI Spoofing,DefenseEvasion,1,1,Open,130,7,1,2024-09-25,2025-02-01,Defender,IAM Team,iam.alerts@example.com,APAC,Server,Windows,Apply Microsoft patch
FND-000029,AST-000114,api-prd-in1-9931,High,8.9,8.6,CVE-2023-27997,FortiOS Heap Overflow,InitialAccess,1,1,Open,48,30,1,2024-12-18,2025-02-01,Qualys,Network Team,net.alerts@example.com,IND,NetworkDevice,NetworkOS,Upgrade FortiOS
FND-000030,AST-000115,web-prd-usw-5512,Medium,6.8,6.5,CVE-2022-41040,Exchange SSRF,InitialAccess,0,0,Open,92,90,1,2024-11-01,2025-01-28,Defender,Messaging Team,msg.alerts@example.com,US,Server,Windows,Apply Exchange updates
FND-000031,AST-000101,web-prd-usw-0042,Critical,10.0,10.0,CVE-2021-44228,Log4Shell RCE,RemoteCodeExecution,1,1,Open,120,7,1,2024-10-05,2025-02-01,Qualys,AppSec Team,appsec.alerts@example.com,US,Server,Linux,Upgrade Log4j immediately
FND-000032,AST-000102,api-prd-usw-1123,Critical,9.8,9.6,CVE-2020-1472,Zerologon,PrivilegeEscalation,1,1,Open,95,7,1,2024-11-01,2025-02-01,Defender,IAM Team,iam.alerts@example.com,US,Server,Windows,Patch domain controllers
FND-000033,AST-000103,db-prd-in1-2301,High,9.1,8.9,CVE-2023-34362,MOVEit SQLi,DataExfiltration,1,1,In Progress,42,30,1,2024-12-20,2025-02-01,Tenable,AppSec Team,appsec.alerts@example.com,IND,Database,Linux,Patch MOVEit and rotate creds
FND-000034,AST-000104,win-prd-euw-8891,High,8.8,8.7,CVE-2019-0708,BlueKeep,RemoteCodeExecution,1,0,Open,60,30,1,2024-12-05,2025-01-28,Qualys,Endpoint Team,endpoint.alerts@example.com,EU,Workstation,Windows,Patch Windows and restrict RDP
FND-000035,AST-000105,k8s-prd-usw-7712,Critical,9.8,9.9,CVE-2022-22965,Spring4Shell,RemoteCodeExecution,1,1,Open,75,7,1,2024-11-20,2025-02-03,Snyk,Cloud Team,cloud.alerts@example.com,US,Container,ContainerOS,Upgrade Spring framework
FND-000036,AST-000106,mail-prd-use-3321,High,9.8,9.3,CVE-2023-23397,Outlook NTLM Leak,CredentialAccess,1,1,Mitigated,20,30,0,2025-01-05,2025-01-27,Defender,Endpoint Team,endpoint.alerts@example.com,US,Laptop,Windows,Apply Outlook patch
FND-000037,AST-000107,net-prd-apac-1209,Critical,9.8,9.6,CVE-2023-46747,F5 BIG-IP Auth Bypass,InitialAccess,1,0,Open,35,7,1,2024-12-30,2025-02-02,Qualys,Network Team,net.alerts@example.com,APAC,NetworkDevice,NetworkOS,Patch BIG-IP firmware
FND-000038,AST-000108,collab-prd-usw-8821,High,9.4,9.1,CVE-2023-3519,Citrix NetScaler RCE,InitialAccess,1,1,Open,40,30,1,2024-12-25,2025-02-01,Rapid7,Collaboration Team,collab.alerts@example.com,US,Server,Linux,Apply Citrix updates
FND-000039,AST-000109,print-prd-euw-4421,Medium,7.8,7.4,CVE-2021-34527,PrintNightmare,PrivilegeEscalation,0,0,Open,110,90,1,2024-10-15,2025-01-30,Defender,IT Team,it.alerts@example.com,EU,Server,Windows,Disable print spooler
FND-000040,AST-000110,vc-prd-usw-9921,Critical,9.8,9.7,CVE-2021-21985,vCenter RCE,RemoteCodeExecution,1,1,Open,55,7,1,2024-12-10,2025-02-03,Qualys,Cloud Team,cloud.alerts@example.com,US,Server,Linux,Patch vCenter
FND-000041,AST-000111,api-prd-usw-2044,High,8.6,8.3,CVE-2022-30190,Follina MSDT,Execution,0,0,Open,88,30,1,2024-11-15,2025-01-29,Defender,Endpoint Team,endpoint.alerts@example.com,US,Workstation,Windows,Disable MSDT
FND-000042,AST-000112,web-prd-euw-7710,High,8.4,8.1,CVE-2023-20887,VMware Auth Bypass,InitialAccess,1,0,Open,62,30,1,2024-12-01,2025-01-31,Qualys,Cloud Team,cloud.alerts@example.com,EU,Server,Linux,Patch VMware products
FND-000043,AST-000113,db-prd-apac-3302,Critical,9.6,9.5,CVE-2020-0601,CryptoAPI Spoofing,DefenseEvasion,1,1,Open,130,7,1,2024-09-25,2025-02-01,Defender,IAM Team,iam.alerts@example.com,APAC,Server,Windows,Apply Microsoft patch
FND-000044,AST-000114,api-prd-in1-9931,High,8.9,8.6,CVE-2023-27997,FortiOS Heap Overflow,InitialAccess,1,1,Open,48,30,1,2024-12-18,2025-02-01,Qualys,Network Team,net.alerts@example.com,IND,NetworkDevice,NetworkOS,Upgrade FortiOS
FND-000045,AST-000115,web-prd-usw-5512,Medium,6.8,6.5,CVE-2022-41040,Exchange SSRF,InitialAccess,0,0,Open,92,90,1,2024-11-01,2025-01-28,Defender,Messaging Team,msg.alerts@example.com,US,Server,Windows,Apply Exchange updates
FND-000046,AST-000101,web-prd-usw-0042,Critical,10.0,10.0,CVE-2021-44228,Log4Shell RCE,RemoteCodeExecution,1,1,Open,120,7,1,2024-10-05,2025-02-01,Qualys,AppSec Team,appsec.alerts@example.com,US,Server,Linux,Upgrade Log4j immediately
FND-000047,AST-000102,api-prd-usw-1123,Critical,9.8,9.6,CVE-2020-1472,Zerologon,PrivilegeEscalation,1,1,Open,95,7,1,2024-11-01,2025-02-01,Defender,IAM Team,iam.alerts@example.com,US,Server,Windows,Patch domain controllers
FND-000048,AST-000103,db-prd-in1-2301,High,9.1,8.9,CVE-2023-34362,MOVEit SQLi,DataExfiltration,1,1,In Progress,42,30,1,2024-12-20,2025-02-01,Tenable,AppSec Team,appsec.alerts@example.com,IND,Database,Linux,Patch MOVEit and rotate creds
FND-000049,AST-000104,win-prd-euw-8891,High,8.8,8.7,CVE-2019-0708,BlueKeep,RemoteCodeExecution,1,0,Open,60,30,1,2024-12-05,2025-01-28,Qualys,Endpoint Team,endpoint.alerts@example.com,EU,Workstation,Windows,Patch Windows and restrict RDP
FND-000050,AST-000105,k8s-prd-usw-7712,Critical,9.8,9.9,CVE-2022-22965,Spring4Shell,RemoteCodeExecution,1,1,Open,75,7,1,2024-11-20,2025-02-03,Snyk,Cloud Team,cloud.alerts@example.com,US,Container,ContainerOS,Upgrade Spring framework
FND-000051,AST-000106,mail-prd-use-3321,High,9.8,9.3,CVE-2023-23397,Outlook NTLM Leak,CredentialAccess,1,1,Mitigated,20,30,0,2025-01-05,2025-01-27,Defender,Endpoint Team,endpoint.alerts@example.com,US,Laptop,Windows,Apply Outlook patch
FND-000052,AST-000107,net-prd-apac-1209,Critical,9.8,9.6,CVE-2023-46747,F5 BIG-IP Auth Bypass,InitialAccess,1,0,Open,35,7,1,2024-12-30,2025-02-02,Qualys,Network Team,net.alerts@example.com,APAC,NetworkDevice,NetworkOS,Patch BIG-IP firmware
FND-000053,AST-000108,collab-prd-usw-8821,High,9.4,9.1,CVE-2023-3519,Citrix NetScaler RCE,InitialAccess,1,1,Open,40,30,1,2024-12-25,2025-02-01,Rapid7,Collaboration Team,collab.alerts@example.com,US,Server,Linux,Apply Citrix updates
FND-000054,AST-000109,print-prd-euw-4421,Medium,7.8,7.4,CVE-2021-34527,PrintNightmare,PrivilegeEscalation,0,0,Open,110,90,1,2024-10-15,2025-01-30,Defender,IT Team,it.alerts@example.com,EU,Server,Windows,Disable print spooler
FND-000055,AST-000110,vc-prd-usw-9921,Critical,9.8,9.7,CVE-2021-21985,vCenter RCE,RemoteCodeExecution,1,1,Open,55,7,1,2024-12-10,2025-02-03,Qualys,Cloud Team,cloud.alerts@example.com,US,Server,Linux,Patch vCenter
FND-000056,AST-000111,api-prd-usw-2044,High,8.6,8.3,CVE-2022-30190,Follina MSDT,Execution,0,0,Open,88,30,1,2024-11-15,2025-01-29,Defender,Endpoint Team,endpoint.alerts@example.com,US,Workstation,Windows,Disable MSDT
FND-000057,AST-000112,web-prd-euw-7710,High,8.4,8.1,CVE-2023-20887,VMware Auth Bypass,InitialAccess,1,0,Open,62,30,1,2024-12-01,2025-01-31,Qualys,Cloud Team,cloud.alerts@example.com,EU,Server,Linux,Patch VMware products
FND-000058,AST-000113,db-prd-apac-3302,Critical,9.6,9.5,CVE-2020-0601,CryptoAPI Spoofing,DefenseEvasion,1,1,Open,130,7,1,2024-09-25,2025-02-01,Defender,IAM Team,iam.alerts@example.com,APAC,Server,Windows,Apply Microsoft patch
FND-000059,AST-000114,api-prd-in1-9931,High,8.9,8.6,CVE-2023-27997,FortiOS Heap Overflow,InitialAccess,1,1,Open,48,30,1,2024-12-18,2025-02-01,Qualys,Network Team,net.alerts@example.com,IND,NetworkDevice,NetworkOS,Upgrade FortiOS
FND-000060,AST-000115,web-prd-usw-5512,Medium,6.8,6.5,CVE-2022-41040,Exchange SSRF,InitialAccess,0,0,Open,92,90,1,2024-11-01,2025-01-28,Defender,Messaging Team,msg.alerts@example.com,US,Server,Windows,Apply Exchange updates
FND-000061,AST-000101,web-prd-usw-0042,Critical,10.0,10.0,CVE-2021-44228,Log4Shell RCE,RemoteCodeExecution,1,1,Open,120,7,1,2024-10-05,2025-02-01,Qualys,AppSec Team,appsec.alerts@example.com,US,Server,Linux,Upgrade Log4j immediately
FND-000062,AST-000102,api-prd-usw-1123,Critical,9.8,9.6,CVE-2020-1472,Zerologon,PrivilegeEscalation,1,1,Open,95,7,1,2024-11-01,2025-02-01,Defender,IAM Team,iam.alerts@example.com,US,Server,Windows,Patch domain controllers
FND-000063,AST-000103,db-prd-in1-2301,High,9.1,8.9,CVE-2023-34362,MOVEit SQLi,DataExfiltration,1,1,In Progress,42,30,1,2024-12-20,2025-02-01,Tenable,AppSec Team,appsec.alerts@example.com,IND,Database,Linux,Patch MOVEit and rotate creds
FND-000064,AST-000104,win-prd-euw-8891,High,8.8,8.7,CVE-2019-0708,BlueKeep,RemoteCodeExecution,1,0,Open,60,30,1,2024-12-05,2025-01-28,Qualys,Endpoint Team,endpoint.alerts@example.com,EU,Workstation,Windows,Patch Windows and restrict RDP
FND-000065,AST-000105,k8s-prd-usw-7712,Critical,9.8,9.9,CVE-2022-22965,Spring4Shell,RemoteCodeExecution,1,1,Open,75,7,1,2024-11-20,2025-02-03,Snyk,Cloud Team,cloud.alerts@example.com,US,Container,ContainerOS,Upgrade Spring framework
FND-000066,AST-000106,mail-prd-use-3321,High,9.8,9.3,CVE-2023-23397,Outlook NTLM Leak,CredentialAccess,1,1,Mitigated,20,30,0,2025-01-05,2025-01-27,Defender,Endpoint Team,endpoint.alerts@example.com,US,Laptop,Windows,Apply Outlook patch
FND-000067,AST-000107,net-prd-apac-1209,Critical,9.8,9.6,CVE-2023-46747,F5 BIG-IP Auth Bypass,InitialAccess,1,0,Open,35,7,1,2024-12-30,2025-02-02,Qualys,Network Team,net.alerts@example.com,APAC,NetworkDevice,NetworkOS,Patch BIG-IP firmware
FND-000068,AST-000108,collab-prd-usw-8821,High,9.4,9.1,CVE-2023-3519,Citrix NetScaler RCE,InitialAccess,1,1,Open,40,30,1,2024-12-25,2025-02-01,Rapid7,Collaboration Team,collab.alerts@example.com,US,Server,Linux,Apply Citrix updates
FND-000069,AST-000109,print-prd-euw-4421,Medium,7.8,7.4,CVE-2021-34527,PrintNightmare,PrivilegeEscalation,0,0,Open,110,90,1,2024-10-15,2025-01-30,Defender,IT Team,it.alerts@example.com,EU,Server,Windows,Disable print spooler
FND-000070,AST-000110,vc-prd-usw-9921,Critical,9.8,9.7,CVE-2021-21985,vCenter RCE,RemoteCodeExecution,1,1,Open,55,7,1,2024-12-10,2025-02-03,Qualys,Cloud Team,cloud.alerts@example.com,US,Server,Linux,Patch vCenter
FND-000071,AST-000111,api-prd-usw-2044,High,8.6,8.3,CVE-2022-30190,Follina MSDT,Execution,0,0,Open,88,30,1,2024-11-15,2025-01-29,Defender,Endpoint Team,endpoint.alerts@example.com,US,Workstation,Windows,Disable MSDT
FND-000072,AST-000112,web-prd-euw-7710,High,8.4,8.1,CVE-2023-20887,VMware Auth Bypass,InitialAccess,1,0,Open,62,30,1,2024-12-01,2025-01-31,Qualys,Cloud Team,cloud.alerts@example.com,EU,Server,Linux,Patch VMware products
FND-000073,AST-000113,db-prd-apac-3302,Critical,9.6,9.5,CVE-2020-0601,CryptoAPI Spoofing,DefenseEvasion,1,1,Open,130,7,1,2024-09-25,2025-02-01,Defender,IAM Team,iam.alerts@example.com,APAC,Server,Windows,Apply Microsoft patch
FND-000074,AST-000114,api-prd-in1-9931,High,8.9,8.6,CVE-2023-27997,FortiOS Heap Overflow,InitialAccess,1,1,Open,48,30,1,2024-12-18,2025-02-01,Qualys,Network Team,net.alerts@example.com,IND,NetworkDevice,NetworkOS,Upgrade FortiOS
FND-000075,AST-000115,web-prd-usw-5512,Medium,6.8,6.5,CVE-2022-41040,Exchange SSRF,InitialAccess,0,0,Open,92,90,1,2024-11-01,2025-01-28,Defender,Messaging Team,msg.alerts@example.com,US,Server,Windows,Apply Exchange updates
FND-000076,AST-000101,web-prd-usw-0042,Critical,10.0,10.0,CVE-2021-44228,Log4Shell RCE,RemoteCodeExecution,1,1,Open,120,7,1,2024-10-05,2025-02-01,Qualys,AppSec Team,appsec.alerts@example.com,US,Server,Linux,Upgrade Log4j immediately
FND-000077,AST-000102,api-prd-usw-1123,Critical,9.8,9.6,CVE-2020-1472,Zerologon,PrivilegeEscalation,1,1,Open,95,7,1,2024-11-01,2025-02-01,Defender,IAM Team,iam.alerts@example.com,US,Server,Windows,Patch domain controllers
FND-000078,AST-000103,db-prd-in1-2301,High,9.1,8.9,CVE-2023-34362,MOVEit SQLi,DataExfiltration,1,1,In Progress,42,30,1,2024-12-20,2025-02-01,Tenable,AppSec Team,appsec.alerts@example.com,IND,Database,Linux,Patch MOVEit and rotate creds
FND-000079,AST-000104,win-prd-euw-8891,High,8.8,8.7,CVE-2019-0708,BlueKeep,RemoteCodeExecution,1,0,Open,60,30,1,2024-12-05,2025-01-28,Qualys,Endpoint Team,endpoint.alerts@example.com,EU,Workstation,Windows,Patch Windows and restrict RDP
FND-000080,AST-000105,k8s-prd-usw-7712,Critical,9.8,9.9,CVE-2022-22965,Spring4Shell,RemoteCodeExecution,1,1,Open,75,7,1,2024-11-20,2025-02-03,Snyk,Cloud Team,cloud.alerts@example.com,US,Container,ContainerOS,Upgrade Spring framework
FND-000081,AST-000106,mail-prd-use-3321,High,9.8,9.3,CVE-2023-23397,Outlook NTLM Leak,CredentialAccess,1,1,Mitigated,20,30,0,2025-01-05,2025-01-27,Defender,Endpoint Team,endpoint.alerts@example.com,US,Laptop,Windows,Apply Outlook patch
FND-000082,AST-000107,net-prd-apac-1209,Critical,9.8,9.6,CVE-2023-46747,F5 BIG-IP Auth Bypass,InitialAccess,1,0,Open,35,7,1,2024-12-30,2025-02-02,Qualys,Network Team,net.alerts@example.com,APAC,NetworkDevice,NetworkOS,Patch BIG-IP firmware
FND-000083,AST-000108,collab-prd-usw-8821,High,9.4,9.1,CVE-2023-3519,Citrix NetScaler RCE,InitialAccess,1,1,Open,40,30,1,2024-12-25,2025-02-01,Rapid7,Collaboration Team,collab.alerts@example.com,US,Server,Linux,Apply Citrix updates
FND-000084,AST-000109,print-prd-euw-4421,Medium,7.8,7.4,CVE-2021-34527,PrintNightmare,PrivilegeEscalation,0,0,Open,110,90,1,2024-10-15,2025-01-30,Defender,IT Team,it.alerts@example.com,EU,Server,Windows,Disable print spooler
FND-000085,AST-000110,vc-prd-usw-9921,Critical,9.8,9.7,CVE-2021-21985,vCenter RCE,RemoteCodeExecution,1,1,Open,55,7,1,2024-12-10,2025-02-03,Qualys,Cloud Team,cloud.alerts@example.com,US,Server,Linux,Patch vCenter
FND-000086,AST-000111,api-prd-usw-2044,High,8.6,8.3,CVE-2022-30190,Follina MSDT,Execution,0,0,Open,88,30,1,2024-11-15,2025-01-29,Defender,Endpoint Team,endpoint.alerts@example.com,US,Workstation,Windows,Disable MSDT
FND-000087,AST-000112,web-prd-euw-7710,High,8.4,8.1,CVE-2023-20887,VMware Auth Bypass,InitialAccess,1,0,Open,62,30,1,2024-12-01,2025-01-31,Qualys,Cloud Team,cloud.alerts@example.com,EU,Server,Linux,Patch VMware products
FND-000088,AST-000113,db-prd-apac-3302,Critical,9.6,9.5,CVE-2020-0601,CryptoAPI Spoofing,DefenseEvasion,1,1,Open,130,7,1,2024-09-25,2025-02-01,Defender,IAM Team,iam.alerts@example.com,APAC,Server,Windows,Apply Microsoft patch
FND-000089,AST-000114,api-prd-in1-9931,High,8.9,8.6,CVE-2023-27997,FortiOS Heap Overflow,InitialAccess,1,1,Open,48,30,1,2024-12-18,2025-02-01,Qualys,Network Team,net.alerts@example.com,IND,NetworkDevice,NetworkOS,Upgrade FortiOS
FND-000090,AST-000115,web-prd-usw-5512,Medium,6.8,6.5,CVE-2022-41040,Exchange SSRF,InitialAccess,0,0,Open,92,90,1,2024-11-01,2025-01-28,Defender,Messaging Team,msg.alerts@example.com,US,Server,Windows,Apply Exchange updates
FND-000091,AST-000101,web-prd-usw-0042,Critical,10.0,10.0,CVE-2021-44228,Log4Shell RCE,RemoteCodeExecution,1,1,Open,120,7,1,2024-10-05,2025-02-01,Qualys,AppSec Team,appsec.alerts@example.com,US,Server,Linux,Upgrade Log4j immediately
FND-000092,AST-000102,api-prd-usw-1123,Critical,9.8,9.6,CVE-2020-1472,Zerologon,PrivilegeEscalation,1,1,Open,95,7,1,2024-11-01,2025-02-01,Defender,IAM Team,iam.alerts@example.com,US,Server,Windows,Patch domain controllers
FND-000093,AST-000103,db-prd-in1-2301,High,9.1,8.9,CVE-2023-34362,MOVEit SQLi,DataExfiltration,1,1,In Progress,42,30,1,2024-12-20,2025-02-01,Tenable,AppSec Team,appsec.alerts@example.com,IND,Database,Linux,Patch MOVEit and rotate creds
FND-000094,AST-000104,win-prd-euw-8891,High,8.8,8.7,CVE-2019-0708,BlueKeep,RemoteCodeExecution,1,0,Open,60,30,1,2024-12-05,2025-01-28,Qualys,Endpoint Team,endpoint.alerts@example.com,EU,Workstation,Windows,Patch Windows and restrict RDP
FND-000095,AST-000105,k8s-prd-usw-7712,Critical,9.8,9.9,CVE-2022-22965,Spring4Shell,RemoteCodeExecution,1,1,Open,75,7,1,2024-11-20,2025-02-03,Snyk,Cloud Team,cloud.alerts@example.com,US,Container,ContainerOS,Upgrade Spring framework
FND-000096,AST-000106,mail-prd-use-3321,High,9.8,9.3,CVE-2023-23397,Outlook NTLM Leak,CredentialAccess,1,1,Mitigated,20,30,0,2025-01-05,2025-01-27,Defender,Endpoint Team,endpoint.alerts@example.com,US,Laptop,Windows,Apply Outlook patch
FND-000097,AST-000107,net-prd-apac-1209,Critical,9.8,9.6,CVE-2023-46747,F5 BIG-IP Auth Bypass,InitialAccess,1,0,Open,35,7,1,2024-12-30,2025-02-02,Qualys,Network Team,net.alerts@example.com,APAC,NetworkDevice,NetworkOS,Patch BIG-IP firmware
FND-000098,AST-000108,collab-prd-usw-8821,High,9.4,9.1,CVE-2023-3519,Citrix NetScaler RCE,InitialAccess,1,1,Open,40,30,1,2024-12-25,2025-02-01,Rapid7,Collaboration Team,collab.alerts@example.com,US,Server,Linux,Apply Citrix updates
FND-000099,AST-000109,print-prd-euw-4421,Medium,7.8,7.4,CVE-2021-34527,PrintNightmare,PrivilegeEscalation,0,0,Open,110,90,1,2024-10-15,2025-01-30,Defender,IT Team,it.alerts@example.com,EU,Server,Windows,Disable print spooler
FND-000100,AST-000110,vc-prd-usw-9921,Critical,9.8,9.7,CVE-2021-21985,vCenter RCE,RemoteCodeExecution,1,1,Open,55,7,1,2024-12-10,2025-02-03,Qualys,Cloud Team,cloud.alerts@example.com,US,Server,Linux,Patch vCenter
FND-000101,AST-000111,api-prd-usw-2044,High,8.6,8.3,CVE-2022-30190,Follina MSDT,Execution,0,0,Open,88,30,1,2024-11-15,2025-01-29,Defender,Endpoint Team,endpoint.alerts@example.com,US,Workstation,Windows,Disable MSDT
